#Age (Ma)	Bathymetry (m)
1	-4823
6	-4548
11	-4517
16	-4189
20	-4325
27	-4262
31	-4080
35	-3763
41	-3888
45	-3696
50	-3608
56	-3650
67	-3531
70	-3390
75	-3338
81	-3193
85	-3261
90	-3069
95	-3048
105	-3542
110	-3517
115	-3314
120	-3231
126	-3809
130	-3476
135	-3429
140	-3242
145	-3383
149	-3440
154	-3617
160	-3737
164	-3430
170	-3446
175	-3691
180	-3618
186	-3660
190	-3541
200	-3453
208	-3437
237	-3277
245	-3205
254	-3132
258	-3117
269	-2992
280	-2883
300	-2801
308	-2718
339	-2142
349	-2070
359	-2018
369	-1940
377	-1868
392	-1723
410	-1500
