#Age (Ma)	CCD depthmax
1	-4973
6	-4698
11	-4667
16	-4339
20	-4475
27	-4412
31	-4230
35	-3913
41	-4038
45	-3846
50	-3758
56	-3800
67	-3681
70	-3540
75	-3488
81	-3343
85	-3411
90	-3219
95	-3198
105	-3692
110	-3667
115	-3464
120	-3381
126	-3959
130	-3626
135	-3579
140	-3392
145	-3533
149	-3590
154	-3767
160	-3887
164	-3580
170	-3596
175	-3841
180	-3768
186	-3810
190	-3691
200	-3603
208	-3587
237	-3427
245	-3355
254	-3282
258	-3267
269	-3142
280	-3033
300	-2951
308	-2868
339	-2292
349	-2220
359	-2168
369	-2090
377	-2018
392	-1873
410	-1650
