#Age (Ma)	CCD depth mean	min	max		#Age (Ma)	CCD depthmax		#Age (Ma)	CCD depth min
1	-4823	-4973	-4673		1	-4973		1	-4673
6	-4548	-4698	-4398		6	-4698		6	-4398
11	-4517	-4667	-4367		11	-4667		11	-4367
16	-4189	-4339	-4039		16	-4339		16	-4039
20	-4325	-4475	-4175		20	-4475		20	-4175
27	-4262	-4412	-4112		27	-4412		27	-4112
31	-4080	-4230	-3930		31	-4230		31	-3930
35	-3763	-3913	-3613		35	-3913		35	-3613
41	-3888	-4038	-3738		41	-4038		41	-3738
45	-3696	-3846	-3546		45	-3846		45	-3546
50	-3608	-3758	-3458		50	-3758		50	-3458
56	-3650	-3800	-3500		56	-3800		56	-3500
67	-3531	-3681	-3381		67	-3681		67	-3381
70	-3390	-3540	-3240		70	-3540		70	-3240
75	-3338	-3488	-3188		75	-3488		75	-3188
81	-3193	-3343	-3043		81	-3343		81	-3043
85	-3261	-3411	-3111		85	-3411		85	-3111
90	-3069	-3219	-2919		90	-3219		90	-2919
95	-3048	-3198	-2898		95	-3198		95	-2898
105	-3542	-3692	-3392		105	-3692		105	-3392
110	-3517	-3667	-3367		110	-3667		110	-3367
115	-3314	-3464	-3164		115	-3464		115	-3164
120	-3231	-3381	-3081		120	-3381		120	-3081
126	-3809	-3959	-3659		126	-3959		126	-3659
130	-3476	-3626	-3326		130	-3626		130	-3326
135	-3429	-3579	-3279		135	-3579		135	-3279
140	-3242	-3392	-3092		140	-3392		140	-3092
145	-3383	-3533	-3233		145	-3533		145	-3233
149	-3440	-3590	-3290		149	-3590		149	-3290
154	-3617	-3767	-3467		154	-3767		154	-3467
160	-3737	-3887	-3587		160	-3887		160	-3587
164	-3430	-3580	-3280		164	-3580		164	-3280
170	-3446	-3596	-3296		170	-3596		170	-3296
175	-3691	-3841	-3541		175	-3841		175	-3541
180	-3618	-3768	-3468		180	-3768		180	-3468
186	-3660	-3810	-3510		186	-3810		186	-3510
190	-3541	-3691	-3391		190	-3691		190	-3391
200	-3453	-3603	-3303		200	-3603		200	-3303
208	-3437	-3587	-3287		208	-3587		208	-3287
237	-3277	-3427	-3127		237	-3427		237	-3127
245	-3205	-3355	-3055		245	-3355		245	-3055
254	-3132	-3282	-2982		254	-3282		254	-2982
258	-3117	-3267	-2967		258	-3267		258	-2967
269	-2992	-3142	-2842		269	-3142		269	-2842
280	-2883	-3033	-2733		280	-3033		280	-2733
300	-2801	-2951	-2651		300	-2951		300	-2651
308	-2718	-2868	-2568		308	-2868		308	-2568
339	-2142	-2292	-1992		339	-2292		339	-1992
349	-2070	-2220	-1920		349	-2220		349	-1920
359	-2018	-2168	-1868		359	-2168		359	-1868
369	-1940	-2090	-1790		369	-2090		369	-1790
377	-1868	-2018	-1718		377	-2018		377	-1718
392	-1723	-1873	-1573		392	-1873		392	-1573
410	-1500	-1650	-1350		410	-1650		410	-1350
