#Age (Ma)	CCD depth min
1	-4673
6	-4398
11	-4367
16	-4039
20	-4175
27	-4112
31	-3930
35	-3613
41	-3738
45	-3546
50	-3458
56	-3500
67	-3381
70	-3240
75	-3188
81	-3043
85	-3111
90	-2919
95	-2898
105	-3392
110	-3367
115	-3164
120	-3081
126	-3659
130	-3326
135	-3279
140	-3092
145	-3233
149	-3290
154	-3467
160	-3587
164	-3280
170	-3296
175	-3541
180	-3468
186	-3510
190	-3391
200	-3303
208	-3287
237	-3127
245	-3055
254	-2982
258	-2967
269	-2842
280	-2733
300	-2651
308	-2568
339	-1992
349	-1920
359	-1868
369	-1790
377	-1718
392	-1573
410	-1350
